time,linear_x,linear_y,linear_z,angular_z
1.039116,0.000000,0.000000,0.000000,0.000000
1.049116,0.000000,0.000000,0.000000,0.000000
1.059116,0.000000,0.000000,0.000000,0.000000
1.069116,0.000000,0.000000,0.000000,0.000000
1.079116,0.000000,0.000000,0.000000,0.000000
1.089116,0.000000,0.000000,0.000000,0.000000
1.099116,0.000000,0.000000,0.000000,0.000000
1.109116,0.000000,0.000000,0.000000,0.000000
1.119116,0.000000,0.000000,0.000000,0.000000
1.129116,0.000000,0.000000,0.000000,0.000000
1.139116,0.000000,0.000000,0.000000,0.000000
1.149116,0.000000,0.000000,0.000000,0.000000
1.159116,0.000000,0.000000,0.000000,0.000000
1.169116,0.000000,0.000000,0.000000,0.000000
1.179116,0.000000,0.000000,0.000000,0.000000
1.189116,0.000000,0.000000,0.000000,0.000000
1.199116,0.000000,0.000000,0.000000,0.000000
1.209116,0.000000,0.000000,0.000000,0.000000
1.219116,0.000000,0.000000,0.000000,0.000000
1.229116,0.000000,0.000000,0.000000,0.000000
1.239116,0.000000,0.000000,0.000000,0.000000
1.249116,0.000000,0.000000,0.000000,0.000000
1.259116,0.000000,0.000000,0.000000,0.000000
1.269116,0.000000,0.000000,0.000000,0.000000
1.279116,0.000000,0.000000,0.000000,0.000000
1.289116,0.000000,0.000000,0.000000,0.000000
1.299116,0.000000,0.000000,0.000000,0.000000
1.309116,0.000000,0.000000,0.000000,0.000000
1.319116,0.000000,0.000000,0.000000,0.000000
1.329116,0.000000,0.000000,0.000000,0.000000
1.339116,0.000000,0.000000,0.000000,0.000000
1.349116,0.000000,0.000000,0.000000,0.000000
1.359116,0.000000,0.000000,0.000000,0.000000
1.369116,0.000000,0.000000,0.000000,0.000000
1.379116,0.000000,0.000000,0.000000,0.000000
1.389116,0.000000,0.000000,0.000000,0.000000
1.399116,0.000000,0.000000,0.000000,0.000000
1.409116,0.000000,0.000000,0.000000,0.000000
1.419116,0.000000,0.000000,0.000000,0.000000
1.429116,0.000000,0.000000,0.000000,0.000000
1.439116,0.000000,0.000000,0.000000,0.000000
1.449116,0.000000,0.000000,0.000000,0.000000
1.459116,0.000000,0.000000,0.000000,0.000000
1.469116,0.000000,0.000000,0.000000,0.000000
1.479116,0.000000,0.000000,0.000000,0.000000
1.489116,0.000000,0.000000,0.000000,0.000000
1.499116,0.000000,0.000000,0.000000,0.000000
1.509116,0.000000,0.000000,0.000000,0.000000
1.519116,0.000000,0.000000,0.000000,0.000000
1.529116,0.000000,0.000000,0.000000,0.000000
1.539116,0.000000,0.000000,0.000000,0.000000
1.549116,0.000000,0.000000,0.000000,0.000000
1.559116,0.000000,0.000000,0.000000,0.000000
